userName,score,at,content
Pengguna Google,5,08-09-2024 03:46,terbaik
Pengguna Google,5,08-09-2024 03:45,seneng belanja di shopee
Pengguna Google,5,08-09-2024 03:45,Saya senang dengan aplikasi ini
Pengguna Google,5,08-09-2024 03:44,manrap
Pengguna Google,5,08-09-2024 03:43,mantap
Pengguna Google,5,08-09-2024 03:43,Okkkk
Pengguna Google,5,08-09-2024 03:43,Mantap
Pengguna Google,2,08-09-2024 03:42,Produk MULYONO! saatnya Unninstal
Pengguna Google,5,08-09-2024 03:42,"Smga shopee makin nambah baik ke depan nya,klu skrg udah bgs ke depan ny makin bgs,dan ongkir smga bisa LBH murah,heee..."
Pengguna Google,5,08-09-2024 03:39,Sangat memuaskan ⭐🥰
Pengguna Google,5,08-09-2024 03:39,Males bgt sekarang ada biaya penanganan biaya pelyanan jg hadehhh
Pengguna Google,5,08-09-2024 03:38,mantappp
Pengguna Google,5,08-09-2024 03:37,Servis memuaskan. Barang sesuai pesanan. Paket tiba secepat yang diharapkan.
Pengguna Google,5,08-09-2024 03:36,"Bagus,goot job👍🏻"
Pengguna Google,5,08-09-2024 03:36,"tentang pengalaman sy bersama dg Shoope, tentang pengiriman lebih sedikit di percepat ja sedikit, terimakasih"
Pengguna Google,5,08-09-2024 03:35,Sangat bermanfaat Shopie membantu dan meringankan kebutuhan
Pengguna Google,3,08-09-2024 03:33,"sebenarnya bagus sangat bagus shopee ini,lengkap dan murah,skrng minesnya 1. tolong pihak shope jangah lah prioritaskan/rekomen pesanan kita ke pihak jasa SPX, Spx kurang profesional menjalankan tugas sehingga jadinya lambat,sudah ribuan orang mengeluh soal jasa SPX. apakah shopee mau karna 1 keburukan Jasa seribu pelanggan lari ? tolonglah,mending JNT&JNE yg di prioritaskan ke setiap toko. terima kasih"
Pengguna Google,2,08-09-2024 03:32,Bagussss
Pengguna Google,5,08-09-2024 03:31,Mantap
Pengguna Google,5,08-09-2024 03:31,Hanya bintang yang bisa menjawab..
Pengguna Google,4,08-09-2024 03:31,Apk nyw bagus tapi banyak iklan Contohnya Kan aku lagi buka apk lain kayak youtube tiba tiba ada iklan shoope cod anjir lah 🗿👊🏻
Pengguna Google,1,08-09-2024 03:30,mahal ongkirnya dari barang yang kita pesan cuaaakkzzzz...!!!!🤣 auto hapus aplikasi ini
Pengguna Google,4,08-09-2024 03:28,aplikasi ini sangat membantu
Pengguna Google,5,08-09-2024 03:28,Wahhh!! Dari Shopee aku bisa berbelanja terus! Dan mendapatkan diskon besar besaran... Doa kan aku semoga nanti malam bisa mendapat ip seharga seratus perak ya! Heheheh
Pengguna Google,1,08-09-2024 03:27,Kurir nya gak bisa milih parah
Pengguna Google,5,08-09-2024 03:27,Oke
Pengguna Google,5,08-09-2024 03:23,"Sejauh ini masih bagus pelayanannya ,,kedepannya moga tetap baik"
Pengguna Google,5,08-09-2024 03:23,Luar biasa
Pengguna Google,5,08-09-2024 03:22,Keren nieh
Pengguna Google,5,08-09-2024 03:21,Mantap
Pengguna Google,5,08-09-2024 03:21,Langganan beli d shopee tp biaya admin mkin naik trs 🥲
Pengguna Google,5,08-09-2024 03:21,Belanja di shopee lengkap jadi mudah
Pengguna Google,5,08-09-2024 03:20,Sangat bagus
Pengguna Google,5,08-09-2024 03:19,Shopee untuk sekarang ini masih terdepan dan terpercaya dibandingkan dengan yang lain
Pengguna Google,1,08-09-2024 03:17,Update tampilan barunya lama sekali😡😤
Pengguna Google,3,08-09-2024 03:16,"Sejauh ini udah ga ngelag apk nya, tpi berat bgt penyimpanannya, kalo bisa dikurangim fitur2 yg tidak perlu, soalnya bikin hp cpet panas kalo buka apk ini"
Pengguna Google,5,08-09-2024 03:15,Aplikasi terbaik 🤙
Pengguna Google,4,08-09-2024 03:15,Ini kenapa sekarang ni.kok buka aplikasi lgsg ke live.bikin jengkel aja di paksa harus lihat live dulu
Pengguna Google,5,08-09-2024 03:13,Banyakin diskonnya bang
Pengguna Google,5,08-09-2024 03:12,Mantul
Pengguna Google,5,08-09-2024 03:12,Baik
Pengguna Google,5,08-09-2024 03:10,baguss
Pengguna Google,3,08-09-2024 03:08,Ckup puas
Pengguna Google,5,08-09-2024 03:07,"Semuahnya perfect, cuman satu kendala saya di fitur shopepay, ketika mau beli barang dan mau bayar tidak bisa padahal saldo sudah melebihi dari harga barang, itu kira² kenapa ya min?"
Pengguna Google,1,08-09-2024 03:06,saya beli pulsa di shope ga masuk2 padahal sudah di bayar sudah hubungi cs tetap saja ga ada solusi malah di suruh tunggu estimasi 1 hari kerja tapi sekarang sudah lebih tapi tetep belum masuk2 dana ga bisa kembali pulsa ga ada apk ampas.
Pengguna Google,5,08-09-2024 03:06,mantap
